,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Around Me,Lost,Brent Faiyaz,2018-10-19,183022,61,0.654,0.572,0.654,0.177,6.64e-05,0.0969,-12.522,0.0618,74.945,4
0,"Sun, Arise! (An Invocation, An Introduction)",Muchacho,Phosphorescent,2013-03-19,189560,4,0.517,0.961,0.517,0.226,0.344,0.102,-14.318,0.0345,129.887,3
1,Sunnnn,Pacific II,Goth Babe,2018-08-31,260842,44,0.379,0.169,0.379,0.69,0.00266,0.557,-9.862,0.747,189.938,4
2,Sunset Lover,Sunset Lover,Petit Biscuit,2015,237792,73,0.783,0.729,0.783,0.467,0.809,0.109,-9.474,0.0503,90.838,4
3,Sun Giant,Sun Giant,Fleet Foxes,2008-02-28,134320,0,0.377,0.935,0.377,0.0632,1.3e-05,0.116,-20.424,0.0367,146.878,4
4,SUN,AWAY,Slow Magic,2018-04-13,235322,0,0.583,0.166,0.583,0.799,0.68,0.197,-5.522,0.0365,100.013,4
5,Sun Models (feat. Madelyn Grant),In Return,ODESZA,2014-09-08,160000,64,0.683,0.191,0.683,0.481,0.736,0.0907,-9.174,0.075,120.001,4
6,Suncity (feat. Empress Of),Suncity,Khalid,2018-10-18,189493,57,0.695,0.107,0.695,0.639,0.000657,0.118,-6.897,0.153,90.027,4
7,Wood,Half-Light,Rostam,2017-09-15,342426,42,0.41,0.724,0.41,0.554,0.0847,0.084,-9.015,0.25,71.2,4
8,Until the Sun Needs to Rise,Bloom,RÜFÜS DU SOL,2016-01-22,292044,2,0.726,0.011,0.726,0.691,0.292,0.0916,-8.033,0.0337,119.996,4
9,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,1969-09-26,185733,82,0.557,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.0347,129.171,4
10,sunrise,honshu island,mt. fujitive,2017-06-15,102256,50,0.689,0.933,0.689,0.0655,0.928,0.1,-17.919,0.0554,66.879,3
11,Sun's Out,Routines,Hoops,2017-05-05,169016,45,0.482,0.00161,0.482,0.868,0.461,0.224,-6.105,0.0398,130.047,4
12,Sun Hands,Gorilla Manor,Local Natives,2010-02-16,290986,39,0.57,0.341,0.57,0.575,0.0574,0.0824,-9.567,0.0477,124.959,4
13,Doused,Oshin,DIIV,2012-06-26,222973,25,0.379,0.0674,0.379,0.868,0.763,0.0645,-4.913,0.038,169.984,4
14,Sunblind,Shore,Fleet Foxes,2020-09-22,253613,57,0.562,0.31,0.562,0.686,0.0225,0.125,-8.48,0.0249,103.054,4
15,Sunburn Modern,Sunburn,Baio,2012-05-21,383493,36,0.662,0.0175,0.662,0.805,0.883,0.213,-7.905,0.0369,117.995,4
16,Sun,Swim,Caribou,2010-04-20,344999,41,0.687,0.0361,0.687,0.802,0.749,0.204,-7.6,0.0367,127.991,4
0,Elixir,Wild,Tourist,2019-10-18,306720,55,0.443,0.428,0.443,0.767,0.864,0.115,-6.465,0.0407,105.025,3
1,Molly,Molly,Lil Promise,2019-10-18,157440,0,0.76,0.0692,0.76,0.712,0.0,0.121,-7.016,0.0809,144.143,4
2,Normal Girl,Ctrl,SZA,2017-06-09,253586,71,0.624,0.269,0.624,0.532,5.17e-05,0.158,-7.146,0.124,76.453,4
3,st.,jpn,Tatsuya Maruyama,2019-08-24,217200,5,0.565,0.548,0.565,0.491,0.934,0.104,-11.786,0.027,99.993,4
4,Guatemala - From Swaecation,SR3MM,Rae Sremmurd,2018-05-04,256341,67,0.849,0.185,0.849,0.699,0.00118,0.0954,-5.193,0.0574,100.989,4
5,Sibling,Dawn Chorus,Jacques Greene,2019-10-18,264100,21,0.645,0.0743,0.645,0.793,0.928,0.231,-7.366,0.0324,120.024,4
6,Informal Disco,1987,Amtrac,2017-02-24,453000,0,0.67,0.0191,0.67,0.81,0.899,0.255,-8.841,0.0355,120.015,4
7,Can You Discover?,LP,Discovery,2009-07-06,142466,0,0.555,0.0962,0.555,0.822,0.0,0.0485,-6.602,0.271,145.276,4
8,"Be Brave, Clench Fists",Music for the Uninvited,Leon Vynehall,2014-03-31,405227,0,0.655,0.0131,0.655,0.828,0.886,0.671,-12.071,0.0518,121.587,3
9,He,Do You Love Her Now / He,Jai Paul,2019-06-02,268000,0,0.743,0.514,0.743,0.441,0.00524,0.309,-11.169,0.0898,95.024,4
11,Linked,Linked,Bonobo,2019-07-01,369461,57,0.713,0.539,0.713,0.725,0.886,0.111,-9.951,0.0385,122.041,4
12,Words,Call Me by Your Name (Original Motion Picture Soundtrack),Various Artists,2017-11-03,207582,0,0.526,0.374,0.526,0.698,1.29e-06,0.123,-8.099,0.0572,123.737,4
13,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,239835,86,0.511,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,4
14,Break The Chains,Break The Chains,PaulWetz,2019-11-29,204000,27,0.8,0.0338,0.8,0.67,0.391,0.113,-10.205,0.0562,119.984,4
15,Felicity,Felicity,Hologramme,2019-03-29,231226,0,0.761,0.242,0.761,0.662,0.904,0.14,-9.885,0.206,159.983,4
16,Two Clocks,Atlas,RÜFÜS DU SOL,2014-08-25,228346,31,0.705,0.31,0.705,0.689,0.747,0.115,-7.869,0.0349,125.008,4
17,Just,Just,Lane 8,2019-12-31,290731,49,0.656,0.481,0.656,0.565,0.951,0.313,-11.195,0.0323,122.935,4
18,Aquiver,Aquiver,Le Youth,2019-11-07,267779,47,0.727,0.0314,0.727,0.748,0.83,0.199,-6.72,0.0325,123.997,4
19,Nangs,Currents,Tame Impala,2015-07-17,107533,64,0.536,0.159,0.536,0.526,0.847,0.128,-9.754,0.181,167.608,4
20,Silver,Our Love,Caribou,2014-10-07,316653,0,0.61,0.142,0.61,0.607,0.167,0.104,-8.638,0.0399,80.011,4
21,Baby,Baby,Four Tet,2020-01-23,264464,44,0.792,0.487,0.792,0.576,0.00325,0.0972,-9.947,0.248,127.066,4
22,"NO WAY (feat. Isaiah Rashad, Joey Purp & Ambré) [Sam von Horn & Justin Jay Remix]",Lune Rouge Remixed,TOKiMONSTA,2018-04-06,269106,0,0.805,0.0166,0.805,0.762,0.805,0.114,-7.198,0.0628,124.012,4
23,23nrg,"Lwlvls x Howlmate: Animal Rescue Fundraiser, Vol. 1",Various Artists,2019-11-15,381068,0,0.643,0.00257,0.643,0.876,0.271,0.11,-8.126,0.0352,131.013,4
24,4ÆM,Miss Anthropocene (Deluxe Edition),Grimes,2020-02-21,270982,0,0.483,0.0104,0.483,0.905,0.299,0.288,-4.374,0.0417,92.992,4
25,Jonnhae Pt. 2,Vegetal,Fakear,2016-12-02,316011,36,0.748,0.0158,0.748,0.551,0.00476,0.0883,-8.491,0.0525,103.017,4
26,Hinode,Hinode,Fakear,2016,207973,54,0.62,0.0571,0.62,0.702,0.866,0.141,-8.193,0.0581,171.853,4
27,Frontline,Frontline,Kelela,2017-09-03,339189,24,0.438,0.241,0.438,0.325,1.11e-06,0.0648,-9.206,0.0432,141.504,4
28,oh baby,american dream,LCD Soundsystem,2017-09-01,349693,63,0.58,0.0192,0.58,0.622,0.653,0.648,-12.005,0.0352,169.442,4
29,Lisse,"TheSoundYouNeed, Vol. 1",Various Artists,2014-11-16,329491,41,0.967,0.298,0.967,0.528,0.000175,0.196,-11.038,0.321,118.012,4
30,First,Through Water,Låpsley,2020-03-20,200573,0,0.564,0.228,0.564,0.498,0.00351,0.358,-12.77,0.156,176.065,4
31,C O O L - Henry Krinkle Remix,C O O L,Le Youth,2013-06-28,320426,22,0.657,0.00839,0.657,0.797,0.00284,0.252,-7.489,0.0622,123.01,4
32,YAH.,DAMN.,Kendrick Lamar,2017-04-14,160293,64,0.67,0.576,0.67,0.7,5.34e-06,0.226,-7.893,0.196,69.986,4
33,Moment 4 Life,Pink Friday (Deluxe),Nicki Minaj,2010-01-01,279306,0,0.68,0.406,0.68,0.882,0.0,0.241,-3.883,0.236,97.943,4
34,Roses,Collection One,SAINt JHN,2018-03-30,173610,1,0.782,0.342,0.782,0.5,2.05e-05,0.133,-6.473,0.0611,102.001,4
35,CAROUSEL,ASTROWORLD,Travis Scott,2018-08-03,180182,68,0.428,0.229,0.428,0.403,0.0,0.22,-5.914,0.209,95.387,5
36,Between Breaths,Fulu,Oedipa Maas,2019-09-27,479623,0,0.74,0.0064,0.74,0.669,0.889,0.613,-10.272,0.0402,99.997,4
37,Never Ending Circles,Every Open Eye,CHVRCHES,2015-09-25,186649,30,0.509,0.0873,0.509,0.738,0.0,0.409,-5.282,0.0329,89.969,4
38,To Have You Back,U,Tourist,2016-05-06,274388,3,0.609,0.219,0.609,0.636,5.54e-05,0.0551,-5.155,0.148,136.113,4
39,MICHUUL.,an XTRA UUGLY Mixtape,Duckwrth,2017-11-03,186200,65,0.846,0.384,0.846,0.681,1.02e-05,0.185,-6.172,0.144,117.978,4
40,rangerover - Bonus Track,Ricky Music,Porches,2020-03-13,135703,47,0.634,0.0584,0.634,0.654,0.0,0.199,-5.351,0.0547,149.782,4
41,Little by Little,Little by Little,Lane 8,2018-01-19,333223,50,0.649,0.00859,0.649,0.771,0.853,0.103,-9.714,0.0412,121.011,4
42,No Favors,Oh Uncertainty! A Universe Despairs,Blood Cultures,2019-09-13,294920,0,0.61,0.0561,0.61,0.848,0.552,0.145,-6.683,0.0774,116.991,4
43,Idontknow,Idontknow,Jamie xx,2020-04-15,321502,0,0.506,0.513,0.506,0.714,0.871,0.053,-7.802,0.291,160.065,4
44,Girls,Girls,Slow Magic,2014-06-23,273262,0,0.683,0.23,0.683,0.641,0.0,0.153,-6.423,0.0639,100.998,4
45,Car Camping,Point Mugu,Goth Babe,2018-02-22,267130,48,0.331,0.822,0.331,0.609,0.541,0.292,-10.661,0.122,114.117,4
46,Natural Fools,Portraits,Maribou State,2015-06-01,339258,49,0.713,0.7,0.713,0.547,0.798,0.167,-9.181,0.0441,119.981,4
47,Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,162680,92,0.773,0.0153,0.773,0.47,0.000193,0.0851,-7.93,0.0299,94.995,4
48,Rune,Rune,Clams Casino,2019-10-29,209604,26,0.205,0.236,0.205,0.361,0.712,0.22,-8.471,0.0283,150.019,4
49,Sleep Sound,Girl/Sleep Sound,Jamie xx,2014-05-05,383309,51,0.759,0.352,0.759,0.536,0.913,0.0847,-11.7,0.0626,118.109,4
50,MANIAC,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,2010-11-09,178240,54,0.522,0.0781,0.522,0.66,0.0785,0.671,-10.227,0.107,149.964,4
51,Star - A$AP Ferg Remix,Star (A$AP Ferg Remix),Machinedrum,2020-12-08,277920,48,0.655,0.051,0.655,0.812,0.0286,0.0487,-7.176,0.0406,139.953,4
52,Western,A Museum Of Contradiction,Mk.gee,2020-05-22,172723,41,0.805,0.631,0.805,0.588,0.0462,0.0922,-6.99,0.052,116.032,4
53,Change,Change,TSHA,2020-10-13,189539,45,0.618,0.828,0.618,0.802,0.388,0.228,-5.743,0.0312,122.003,4
54,Steal,Portraits,Maribou State,2015-06-01,219945,64,0.729,0.62,0.729,0.456,0.000133,0.0919,-6.795,0.0528,110.999,4
55,GANG,GANG,Headie One,2020-04-03,159517,45,0.77,0.0988,0.77,0.675,0.0159,0.238,-7.652,0.404,106.006,4
56,Diana (You Don't Even Know),Diana (You Don't Even Know),Fred again..,2021-05-14,204878,43,0.837,0.0286,0.837,0.71,0.019,0.0649,-7.109,0.0762,123.021,4
57,Another Case,Take A Rest,Tora,2017-06-09,200357,59,0.807,0.635,0.807,0.513,0.26,0.11,-10.786,0.0506,109.999,4
58,Feather (feat. Cise Starr & Akin from CYNE),Modal Soul,Nujabes,2005-11-11,175360,63,0.565,0.655,0.565,0.749,0.432,0.106,-6.629,0.0769,180.598,4
0,Boca Llena,Mujeres,Y La Bamba,2019-02-08,247406,36,0.485,0.00817,0.485,0.746,0.00194,0.259,-5.778,0.0437,94.373,4
1,Ibrik,Ibrik,Bonobo,2019-01-22,350054,0,0.738,0.257,0.738,0.512,0.879,0.0824,-12.924,0.0668,123.01,4
2,Old Graffiti,Ribbons,Bibio,2019-04-12,208853,53,0.639,0.277,0.639,0.914,0.802,0.0382,-7.189,0.0394,94.823,4
3,All the Ways,Don't You,Wet,2016-01-29,213266,37,0.627,0.324,0.627,0.465,0.0146,0.12,-8.509,0.0372,100.053,4
4,Nervous Tics (feat. Holly Walker),Kingdoms In Colour,Maribou State,2018-09-07,254020,60,0.811,0.761,0.811,0.615,0.578,0.0974,-9.41,0.0446,125.99,4
5,Timothy,Lover Chanting EP,Little Dragon,2018-11-09,230427,43,0.875,0.102,0.875,0.386,0.000353,0.1,-11.611,0.115,107.012,4
6,Wallflower,Portraits,Maribou State,2015-06-01,223269,40,0.664,0.22,0.664,0.554,0.793,0.227,-8.399,0.373,118.07,4
7,He Would Have Laughed,Halcyon Digest,Deerhunter,2010-09-27,449373,0,0.354,0.461,0.354,0.668,0.721,0.159,-7.9,0.0392,118.54,4
8,QUE NO SALGA LA LUNA - Cap.2: Boda,El Mal Querer,ROSALÍA,2018-11-02,269538,56,0.625,0.763,0.625,0.655,0.000126,0.378,-5.992,0.112,121.075,3
9,Jacquot (Waters Of Praslin) - Mixed,fabric presents Bonobo (DJ Mix),Bonobo,2019-02-22,218680,0,0.617,0.00239,0.617,0.897,0.945,0.13,-9.964,0.0402,122.88,4
11,Daughter,New Energy,Four Tet,2017-09-29,295131,54,0.621,0.765,0.621,0.3,0.00598,0.11,-9.135,0.056,81.098,4
12,Diving Woman,Soft Sounds from Another Planet,Japanese Breakfast,2017-07-14,392600,20,0.463,0.000127,0.463,0.746,0.626,0.117,-6.722,0.0383,120.032,4
13,Real Thing,Nikki Nack,Tune-Yards,2014-05-06,201773,0,0.729,0.0606,0.729,0.615,0.000113,0.728,-6.724,0.132,114.164,4
14,La Cosecha,Prender el Alma,Nicola Cruz,2015-10-16,315493,0,0.699,0.0394,0.699,0.509,0.308,0.408,-10.799,0.0429,101.969,4
15,Ketto,Days To Come,Bonobo,2006-10-02,306840,44,0.635,0.337,0.635,0.784,0.917,0.152,-7.718,0.0312,95.011,4
16,Love/Paranoia,Currents,Tame Impala,2015-07-17,185773,62,0.502,0.0055,0.502,0.699,0.0,0.171,-5.528,0.0333,111.024,4
17,jealous of roses,Ambivalence Avenue,Bibio,2009-06-22,155000,37,0.61,0.0175,0.61,0.797,0.0307,0.086,-7.076,0.118,108.021,4
18,Million Miles Away,Mister Mellow,Washed Out,2017-06-30,287226,0,0.524,0.0681,0.524,0.699,0.00159,0.227,-4.944,0.0354,122.0,4
19,Buoys,Buoys,Panda Bear,2019-02-08,154466,24,0.489,0.219,0.489,0.557,1.6e-06,0.0636,-5.148,0.034,129.489,4
20,Maria También,Con Todo El Mundo,Khruangbin,2018-01-26,190999,25,0.748,0.00261,0.748,0.63,0.859,0.532,-7.318,0.046,103.597,4
21,Benadryl,Treehouse,Sofi Tukker,2018-04-13,196346,0,0.717,0.112,0.717,0.562,0.00125,0.101,-9.522,0.0455,115.048,4
22,I Wanted You To Stay On The Other Side,About A Feeling,Summer Heart,2012-04-25,246666,38,0.509,0.195,0.509,0.496,0.88,0.126,-10.413,0.0779,90.062,4
23,Ghost In My Head,Feverish Dreams,Niva,2011-03-11,150769,21,0.526,0.259,0.526,0.915,0.842,0.0816,-6.255,0.039,156.0,4
24,Binz,When I Get Home,Solange,2019-03-01,111226,62,0.863,0.101,0.863,0.625,4.13e-06,0.166,-6.323,0.313,83.98,4
25,Barricade (Matter Of Fact),Yoncalla,Yumi Zouma,2016-05-27,183537,0,0.684,0.494,0.684,0.331,0.314,0.102,-13.745,0.0807,180.006,4
26,Not My Baby,Antisocialites,Alvvays,2017-09-08,256413,54,0.342,0.0291,0.342,0.644,0.299,0.0988,-4.363,0.0346,150.848,4
27,Innamission,blkswn,Smino,2017-03-14,135360,47,0.741,0.82,0.741,0.512,0.0,0.383,-8.388,0.315,114.249,4
28,Peso,Peso,A$AP Rocky,2011-11-16,170306,63,0.527,0.167,0.527,0.831,0.0,0.0861,-6.876,0.27,140.017,4
29,In My Arms,In My Arms,Lane 8,2016-12-02,316721,0,0.661,0.00539,0.661,0.631,0.515,0.112,-11.772,0.0396,121.992,4
30,Lisztomania - Classixx Version,Kitsuné: Lisztomania Remixes - EP,Phoenix,2009-06-15,304413,0,0.693,0.064,0.693,0.734,0.00872,0.0507,-7.766,0.0641,107.998,4
31,Madiba Riddim,More Life,Drake,2017-03-18,205162,62,0.839,0.245,0.839,0.521,0.00545,0.607,-10.45,0.166,105.992,4
32,The Level,Sensorimotor,Lusine,2017-03-03,340652,1,0.788,0.401,0.788,0.537,0.942,0.148,-12.392,0.0706,100.025,4
33,Still Sound,Underneath The Pine,Toro y Moi,2011-02-22,269666,0,0.724,0.232,0.724,0.551,0.0812,0.106,-8.223,0.0296,111.018,4
34,Sleepless,Flume: Deluxe Edition,Flume,2012-11-09,209376,54,0.53,0.0335,0.53,0.688,4.91e-05,0.0886,-7.482,0.169,175.13,4
35,Redemption (with Babes Wodumo),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,222093,55,0.778,0.139,0.778,0.765,0.0274,0.123,-7.175,0.128,125.062,4
36,Lady,Lady,Various Artists,2012-06-01,315466,27,0.712,0.266,0.712,0.809,8.86e-06,0.0752,-5.321,0.0335,110.981,4
37,OAR003-B - Original Mix,OAR003,Oni Ayhun,2009-10-12,674377,35,0.693,0.0014,0.693,0.712,0.861,0.0658,-12.189,0.0624,122.509,4
38,When I'm With You,"Being No One, Going Nowhere",STRFKR,2016-11-04,273560,32,0.705,0.00972,0.705,0.511,0.783,0.0778,-8.373,0.0473,119.995,4
39,Baby Florence (Figure),Angel's Pulse,Blood Orange,2019-07-12,177979,35,0.764,0.00649,0.764,0.652,0.72,0.179,-12.144,0.054,120.02,4
40,Presence,Presence,Petit Biscuit,2017-11-10,297800,41,0.748,0.0355,0.748,0.438,0.884,0.17,-10.815,0.0744,120.97,4
41,Blush,Rojus (Designed To Dance),Leon Vynehall,2016-04-01,510812,0,0.631,0.000521,0.631,0.868,0.0507,0.347,-6.856,0.347,121.996,4
42,Run,U,Tourist,2016-05-06,359785,11,0.556,0.57,0.556,0.898,0.897,0.0951,-5.465,0.0587,125.99,4
43,Quand Vas Tu Rentrer,Melody's Echo Chamber,Melody's Echo Chamber,2013,261399,43,0.293,0.577,0.293,0.573,0.564,0.0754,-7.026,0.0323,92.985,4
44,Headspace,Headspace,MÒZÂMBÎQÚE,2020-10-01,253884,0,0.699,0.158,0.699,0.466,0.854,0.103,-10.643,0.0385,121.0,4
45,Sweet Summer Sweat (feat. Dijon),EPHEMERA,Jim-E Stack,2020-10-30,183988,38,0.749,0.228,0.749,0.656,1.46e-05,0.348,-5.59,0.141,105.11,4
46,Instantané,Recto Verso,Paradis,2016-09-23,381706,55,0.663,0.0718,0.663,0.624,0.533,0.0944,-8.952,0.0628,99.98,4
47,Flicker - Edit,Flicker,Juno Mamba,2019-09-24,250570,26,0.606,0.0441,0.606,0.855,0.921,0.805,-6.018,0.0492,121.008,4
48,Apricots,Apricots,Bicep,2020-10-06,246506,60,0.819,0.347,0.819,0.599,0.824,0.083,-6.778,0.039,127.986,4
49,Wolves Still Cry - Classixx Remix,Wolves Still Cry (Classixx Remix),Lawrence Rothman,2018-02-23,314945,0,0.732,9.57e-05,0.732,0.867,0.275,0.122,-6.335,0.0518,111.006,4
50,Demba,Demba (Demi Riquísimo Remix),TSHA,2021-01-11,309046,48,0.715,0.114,0.715,0.639,0.138,0.0963,-6.617,0.104,128.043,4
0,Only Girl (In The World),Loud,Rihanna,2010-11-15,235520,56,0.786,0.102,0.786,0.716,1.72e-05,0.0557,-4.253,0.0409,125.921,4
1,God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,80,0.602,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,145.031,4
2,Into You,Dangerous Woman,Ariana Grande,2016-05-20,244453,14,0.623,0.0162,0.623,0.734,1.75e-06,0.145,-5.948,0.107,107.853,4
3,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,214846,82,0.791,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,4
4,Chantaje (feat. Maluma),El Dorado,Shakira,2017-05-26,195840,75,0.852,0.187,0.852,0.773,3.05e-05,0.159,-2.921,0.0776,102.034,4
5,7/11,BEYONCÉ [Platinum Edition],Beyoncé,2014-11-24,213506,71,0.747,0.0128,0.747,0.705,0.0,0.126,-5.137,0.126,136.024,4
6,We R Who We R,Cannibal,Kesha,2010-11-19,204760,0,0.734,0.00709,0.734,0.821,0.00281,0.127,-4.893,0.0406,119.993,4
7,We Can't Stop,Bangerz (Deluxe Version),Miley Cyrus,2013-10-04,231240,79,0.613,0.00882,0.613,0.622,0.0,0.37,-5.794,0.0334,80.003,4
8,Paparazzi,The Fame,Lady Gaga,2008-01-01,208306,0,0.763,0.111,0.763,0.693,0.0,0.101,-3.973,0.0438,114.912,4
9,Stars Are Blind,Paris (U.S. Standard Version),Paris Hilton,2006-08-14,236600,61,0.745,0.00593,0.745,0.695,0.0,0.0615,-5.076,0.0271,102.014,4
10,Buttons,PCD,The Pussycat Dolls,2005-01-01,225560,66,0.57,0.178,0.57,0.821,0.0,0.289,-4.38,0.267,210.857,4
11,Same Old Love - Borgore Remix,Same Old Love (Remixes),Selena Gomez,2015-11-20,256933,31,0.778,0.126,0.778,0.919,0.0,0.153,-2.233,0.113,110.103,4
12,My My My!,Bloom,Troye Sivan,2018-08-31,204726,0,0.701,0.00407,0.701,0.458,0.000151,0.045,-7.749,0.0836,102.967,4
13,212,Broke with Expensive Taste,Azealia Banks,2014-11-07,204956,0,0.847,0.0145,0.847,0.769,0.00012,0.0767,-5.761,0.258,126.017,4
14,King,Communion (Deluxe),Years & Years,2015-06-22,215360,62,0.56,0.0594,0.56,0.857,0.0,0.381,-4.145,0.0384,119.975,4
15,The Weekend,Ctrl,SZA,2017-06-09,272186,74,0.4,0.242,0.4,0.366,0.0,0.126,-9.405,0.0597,73.313,3
16,Boys,Boys,Charli XCX,2017-07-26,162585,64,0.867,0.0646,0.867,0.545,0.000289,0.0505,-5.192,0.0625,139.943,4
17,Titanium (feat. Sia),Nothing but the Beat,David Guetta,2011-08-31,245040,62,0.604,0.0678,0.604,0.788,0.153,0.127,-3.673,0.103,126.06,4
18,Scared to Be Lonely,Scared to Be Lonely,Martin Garrix,2017-01-27,220883,79,0.584,0.0895,0.584,0.54,0.0,0.261,-7.786,0.0576,137.972,4
19,Womanizer,Circus (Deluxe Version),Britney Spears,2008-12-02,224400,78,0.724,0.073,0.724,0.695,0.0,0.0889,-5.226,0.0622,139.0,4
20,2 On (feat. ScHoolboy Q),Aquarius,Tinashe,2014-10-01,227000,72,0.742,0.15,0.742,0.595,0.0,0.111,-7.51,0.107,101.013,4
21,Believe,Believe,Cher,1998,239026,77,0.652,0.0082,0.652,0.917,0.0,0.0509,-6.72,0.0548,132.975,4
22,Too Good,Views,Drake,2016-05-06,263373,74,0.794,0.0489,0.794,0.653,4.88e-05,0.1,-7.839,0.104,117.996,4
23,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,82,0.654,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4
24,Obsessed,Memoirs of an imperfect Angel,Mariah Carey,2009-01-01,242200,67,0.742,0.0465,0.742,0.468,0.0,0.826,-5.557,0.0625,86.443,4
25,"yea, babe, no way",kinda,LANY,2016-06-24,219440,52,0.552,0.246,0.552,0.669,0.00081,0.0684,-5.237,0.0295,155.972,4
26,Team,Pure Heroine,Lorde,2013-09-27,193058,77,0.69,0.167,0.69,0.578,0.0,0.305,-7.436,0.0929,99.961,4
27,Light It Up (feat. Nyla & Fuse ODG) - Remix,Peace Is the Mission (Extended Edition),Major Lazer,2015-11-27,166138,50,0.746,0.0375,0.746,0.877,0.000833,0.233,-3.782,0.0666,107.985,4
28,This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),Calvin Harris,2016-04-29,222160,80,0.631,0.199,0.631,0.927,0.119,0.148,-2.787,0.0332,123.962,4
29,Say It (feat. Tove Lo),Skin,Flume,2016-05-27,262521,61,0.598,0.0668,0.598,0.532,3.22e-06,0.0617,-6.833,0.0295,74.963,4
30,Nuestro Planeta (feat. Reykon),Nuestro Planeta (feat. Reykon),Kali Uchis,2017-08-25,202754,38,0.87,0.0912,0.87,0.552,0.000764,0.0779,-6.114,0.061,96.013,4
31,Magnets - A-Trak Remix,Magnets (The Remixes),Disclosure,2015-11-16,260442,54,0.618,0.057,0.618,0.824,0.000241,0.158,-5.708,0.0937,125.011,4
32,Take Over Control (feat. Eva Simons),Take Over Control (feat. Eva Simons),Afrojack,2011-01-04,220520,51,0.735,0.121,0.735,0.699,2.82e-05,0.0809,-4.435,0.084,129.944,4
34,Honey - Single Edit,Honey,Robyn,2018-09-26,231082,26,0.61,0.0216,0.61,0.621,0.000176,0.119,-8.159,0.0779,115.975,4
35,raingurl,EP2,Yaeji,2017-11-03,237231,0,0.928,0.0168,0.928,0.58,0.00397,0.122,-6.923,0.0503,128.031,4
36,Sweet Dreams,Blue Madonna,BØRNS,2018-01-12,199767,53,0.623,0.0427,0.623,0.534,8.24e-05,0.119,-6.678,0.0315,91.997,4
37,The Way (feat. Chance the Rapper),You Should Be Here,Kehlani,2015-04-28,262520,60,0.746,0.389,0.746,0.538,0.0,0.139,-6.479,0.32,101.018,4
38,Me & U,Cassie (U.S. Version),Cassie,2006-08-07,192213,74,0.803,0.352,0.803,0.454,0.0,0.0655,-4.802,0.0294,99.99,4
39,Final Song,Final Song,MØ,2016-05-13,235826,68,0.695,0.014,0.695,0.672,7.95e-05,0.0756,-6.109,0.0345,104.988,4
40,Fuck With Myself,The Altar,BANKS,2016-09-30,175440,53,0.843,0.0309,0.843,0.37,0.029,0.098,-11.032,0.0546,102.007,4
41,Automatic,Genesis Series,ZHU,2015-11-06,230720,53,0.791,0.0129,0.791,0.679,0.0921,0.364,-6.879,0.0511,121.993,4
42,Alaska - Toby Green Remix,Alaska (Toby Green Remix),Maggie Rogers,2017-06-30,185613,42,0.642,0.216,0.642,0.82,2.67e-06,0.131,-4.548,0.0307,104.018,4
43,Sexy Boy,Moon Safari,Air,1998-01-14,298466,49,0.437,0.0011,0.437,0.652,0.614,0.111,-6.152,0.0288,111.888,4
44,Bedroom,4 Track EP,Litany,2017-06-07,186781,62,0.692,0.0358,0.692,0.452,0.0,0.157,-8.18,0.116,184.876,4
45,Check On It (feat. Bun B & Slim Thug),B'Day,Beyoncé,2006-09-04,210453,57,0.705,0.0708,0.705,0.796,0.0,0.388,-6.845,0.267,166.042,4
46,Be the One,Dua Lipa,Dua Lipa,2017-06-02,202914,37,0.661,0.117,0.661,0.651,1.32e-05,0.056,-3.771,0.0499,87.46,4
47,Mi Gente (feat. Beyoncé),Mi Gente (feat. Beyoncé),J Balvin,2017-09-28,209733,1,0.705,0.0249,0.705,0.714,0.0,0.253,-6.39,0.0792,104.996,4
48,Be Honest (feat. Burna Boy),Be Honest (feat. Burna Boy),Jorja Smith,2019-08-16,207030,71,0.757,0.311,0.757,0.737,0.0,0.113,-6.728,0.114,98.057,4
49,Attitude,Wash & Set,Leikeli47,2017-09-08,199066,45,0.819,0.0753,0.819,0.736,0.000226,0.0896,-5.056,0.254,130.059,4
50,go with u,Someone's EP II,BAYNK,2019-05-22,231192,72,0.787,0.594,0.787,0.537,6.26e-05,0.114,-6.827,0.204,108.994,4
